epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.212,0.84315,1.89862,1.1536,0.90458,0.80597,0.953,0.74741,0.80856,2.82641,1.21611,0.000651852,0.000651852,0.000651852
2,386.2,0.80975,1.27643,1.11534,0.865,0.85075,0.91147,0.61786,0.95485,2.44432,1.38953,0.00126631,0.00126631,0.00126631
3,576.191,0.85019,1.11193,1.10705,0.92763,1,0.97161,0.77202,0.82643,1.69822,1.31428,0.00182796,0.00182796,0.00182796
4,768.419,0.85395,0.94647,1.11851,0.91401,0.9403,0.9717,0.76637,0.83856,1.53471,1.16262,0.0017624,0.0017624,0.0017624
5,964.685,0.81293,0.82281,1.10518,0.91901,0.98507,0.98764,0.80382,0.65487,1.04545,1.08036,0.0016832,0.0016832,0.0016832
6,1155.86,0.77945,0.70768,1.05566,0.95977,0.98507,0.99123,0.84442,0.95198,1.10687,1.27015,0.001604,0.001604,0.001604
7,1347.14,0.71721,0.63173,1.03391,1,0.99849,0.995,0.8858,0.62416,0.6745,1.01569,0.0015248,0.0015248,0.0015248
8,1537.33,0.73562,0.59671,1.04521,0.99856,1,0.995,0.86069,0.61692,0.5743,0.987,0.0014456,0.0014456,0.0014456
9,1728.53,0.69764,0.5519,1.01964,0.9983,1,0.995,0.88672,0.53447,0.46835,0.92805,0.0013664,0.0013664,0.0013664
10,1917.94,0.67681,0.51553,1.00507,0.98834,0.98507,0.99485,0.86917,0.67657,0.51896,1.02245,0.0012872,0.0012872,0.0012872
11,2108.01,0.65666,0.49229,0.99412,0.98508,1,0.995,0.9083,0.46043,0.41555,0.87578,0.001208,0.001208,0.001208
12,2297.72,0.61173,0.45001,0.98364,0.99904,1,0.995,0.88513,0.48251,0.37593,0.91493,0.0011288,0.0011288,0.0011288
13,2487.55,0.62979,0.44768,0.99861,0.99905,1,0.995,0.9046,0.51045,0.38144,0.9235,0.0010496,0.0010496,0.0010496
14,2676.81,0.59664,0.42233,0.96678,0.99881,1,0.995,0.89453,0.4491,0.35595,0.89666,0.0009704,0.0009704,0.0009704
15,2868.76,0.58736,0.41001,0.9713,0.9987,1,0.995,0.91632,0.42272,0.32268,0.86602,0.0008912,0.0008912,0.0008912
16,3059.67,0.4886,0.36031,0.9004,0.99899,1,0.995,0.89753,0.42158,0.32682,0.87259,0.000812,0.000812,0.000812
17,3252.58,0.48248,0.33984,0.89735,0.99905,1,0.995,0.91218,0.43214,0.32728,0.86504,0.0007328,0.0007328,0.0007328
18,3449.24,0.46785,0.32425,0.89745,0.99913,1,0.995,0.91542,0.4138,0.30205,0.87771,0.0006536,0.0006536,0.0006536
19,3639.23,0.44446,0.30962,0.87913,0.99915,1,0.995,0.94537,0.39928,0.28895,0.86971,0.0005744,0.0005744,0.0005744
20,3833.42,0.43779,0.29061,0.87684,0.99887,1,0.995,0.93907,0.38797,0.28904,0.8529,0.0004952,0.0004952,0.0004952
21,4022.8,0.41702,0.2821,0.87418,0.99811,1,0.995,0.92986,0.41623,0.2728,0.88327,0.000416,0.000416,0.000416
22,4211.83,0.40729,0.2733,0.86636,0.99886,1,0.995,0.93955,0.40151,0.24436,0.84557,0.0003368,0.0003368,0.0003368
23,4400.79,0.4016,0.26677,0.86895,0.99905,1,0.995,0.93824,0.37459,0.24586,0.84371,0.0002576,0.0002576,0.0002576
24,4592.34,0.3879,0.25246,0.85491,0.99916,1,0.995,0.94161,0.36842,0.24382,0.84676,0.0001784,0.0001784,0.0001784
25,4781.31,0.37524,0.24112,0.86192,0.999,1,0.995,0.94734,0.36399,0.23903,0.83835,9.92e-05,9.92e-05,9.92e-05
